Initial,Surname,13 N,13 K,13 L,14 N,14 K,14 L,15 N,15 K,15 L,16 N,16 K,16 L,17 N,17 K,17 L,18 N,18 K,18 L,19 N,19 K,19 L,20 N,20 K,21 K,21 L,22 N,22 K,22 L,23 N,23 K,23 L,24 N,24 K,24 L,25 N,25 K,25 L,RPA,POSS,Played,MissedLast,PC,PC2,RANK,RANK2,RANK3
S,GUPTA,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,21,0.0,0.0,97.0,97.0,294
S,KELLY,,,,,,,,NQ,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,295
S,LITTLE,,,,,L16,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,296
S,PATEL,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,297
S,UJOODIA,,,,,,,,,,,,,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,298
S,WOOLFRIES,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,299
S,YICK,,,,NQ,,,NQ,,NQ,,NQ,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,300
SA,BALAJI,,,,,,,,,,,,,,,,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,21,0.0,0.0,97.0,97.0,301
SU,BALAJI,,,,,,,,,,,NQ,,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,302
T,BREESE,NQ,,,NQ,,,NQ,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,303
T,BROMLEY-DAVENPORT,,,,,,,,,,,,,NQ,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,21,0.0,0.0,97.0,97.0,304
T,FLETCHER,,,,,,,,NQ,NQ,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,305
T,HUSSELBEE,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,306
T,KIRKBY,,,,,,,NQ,,,,NQ,,,,,,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,20,0.0,0.0,97.0,97.0,307
T,THURNHAM,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,20,0.0,0.0,97.0,97.0,308
T,WELD,,,,,,,NQ,L16,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,309
T,WELT,,,,,NQ,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,310
TIM,FLETCHER,NQ,,,NQ,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,311
TOM,FLETCHER,NQ,,,NQ,,NQ,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,312
V,SHETTY,,,,,,,,,,,,,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,313
W,CAREW,,,,,,,,,,,,,NQ,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,314
W,GIBBONS,NQ,,,QF,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,315
W,JONES,,L16,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,316
W,REID,,,,,,,,,NQ,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,317
A,TANSEY,,,NQ,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,318
B,WARE,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,319
D,SCHOFIELD,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,320
F,MCDONALD-BROWN,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,321
G,POOK,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,322
I,UJOODIA,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,323
J,FRASER-ANDREWS,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,324
J,REYNOLDS,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,325
M,BEVANS,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,326
M,CHIBBER,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,327
M,JOHNSON,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,328
M,MAINWARING,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,329
GUY,WILLIAMS,NQ,,,QF,L16,,,L16,,QF,L16,,QF,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.8,1,16,0.0,0.0,97.0,97.0,330
M,ASQUITH,,,,,NQ,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.8,1,16,0.0,0.0,97.0,97.0,331
F,BARON,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,P,P,P,P,P,P,P,0.0,10.7,3,7,0.0,0.0,97.0,97.0,332
S,MOTALA-EVANS,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,NQ,P,P,P,P,P,0.0,10.7,2,5,0.0,0.0,97.0,97.0,333
P,ROPER,,,,,,,,L16,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.600000000000001,1,14,0.0,0.0,97.0,97.0,334
W,HOWARD,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.600000000000001,1,14,0.0,0.0,97.0,97.0,335
E,CLARK,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,P,P,0.0,10.55,2,8,0.0,0.0,97.0,97.0,336
G,BRADSHAW,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,P,P,0.0,10.55,2,8,0.0,0.0,97.0,97.0,337
G,HUGHES,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,P,P,0.0,10.55,2,8,0.0,0.0,97.0,97.0,338
J,CREWS,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,P,P,0.0,10.55,2,8,0.0,0.0,97.0,97.0,339
C,DAVEY,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.5,1,13,0.0,0.0,97.0,97.0,340
L,VANHAESEBROECK,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,P,P,P,P,P,P,P,P,0.0,10.399999999999999,2,9,0.0,0.0,97.0,97.0,341
G,STANHOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,NQ,P,P,P,P,0.0,10.3,3,4,0.0,0.0,97.0,97.0,342
M,QUINN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,NQ,P,P,0.0,10.2,3,2,0.0,0.0,97.0,97.0,343
C,GRAVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,P,P,P,P,P,P,P,0.0,10.149999999999999,3,7,0.0,0.0,97.0,97.0,344
H,DEQUETTEVILLE,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.1,1,12,0.0,0.0,97.0,97.0,345
T,LETHBRIDGE,,,,,,,,,,,,NQ,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.1,1,12,0.0,0.0,97.0,97.0,346
E,GARFIELD-OSEN,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,P,0.0,10.0,2,7,0.0,0.0,97.0,97.0,347
A,CLARK,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,9.85,1,11,0.0,0.0,97.0,97.0,348
B,ANWAR,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,9.85,1,11,0.0,0.0,97.0,97.0,349
E,CLUTTON,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,9.85,1,11,0.0,0.0,97.0,97.0,350
M,BALY,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,9.85,1,11,0.0,0.0,97.0,97.0,351
M,YATES,NQ,L16,,NQ,,,QF,,,NQ,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,9.85,1,11,0.0,0.0,97.0,97.0,352
W,TATE,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,9.85,1,11,0.0,0.0,97.0,97.0,353
A,PHILLIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,P,P,NQ,P,0.0,9.649999999999999,4,1,0.0,0.0,97.0,97.0,354
R,SWALLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,0.0,9.45,2,6,0.0,0.0,97.0,97.0,355
A,WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,0.0,9.3,1,10,0.0,0.0,97.0,97.0,356
J,ARTIS,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,0.0,9.3,1,10,0.0,0.0,97.0,97.0,357
R,UNIACKE,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,0.0,9.3,1,10,0.0,0.0,97.0,97.0,358
W,WOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,0.0,9.2,2,5,0.0,0.0,97.0,97.0,359
V,KASSARDJIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,NQ,P,P,0.0,8.8,3,2,0.0,0.0,97.0,97.0,360
M,GORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,0.0,8.75,1,9,0.0,0.0,97.0,97.0,361
N,HIGGINS,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,0.0,8.75,1,9,0.0,0.0,97.0,97.0,362
T,LEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,NQ,P,0.0,8.649999999999999,2,1,0.0,0.0,97.0,97.0,363
A,ANOOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,0.0,8.35,1,8,0.0,0.0,97.0,97.0,364
A,LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,0.0,8.35,1,8,0.0,0.0,97.0,97.0,365
C,MCMICHAEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,0.0,8.35,1,8,0.0,0.0,97.0,97.0,366
J,HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,0.0,8.35,1,8,0.0,0.0,97.0,97.0,367
M,TSIOUPINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,0.0,8.35,1,8,0.0,0.0,97.0,97.0,368
S,SHETTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,0.0,8.35,1,8,0.0,0.0,97.0,97.0,369
T,WHITEHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,0.0,8.35,1,8,0.0,0.0,97.0,97.0,370
M,DAVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,NQ,P,0.0,7.949999999999999,2,1,0.0,0.0,97.0,97.0,371
A,ANDERSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,P,P,P,0.0,7.8,2,4,0.0,0.0,97.0,97.0,372
E,GOSNELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,P,P,P,P,P,0.0,7.8,2,5,0.0,0.0,97.0,97.0,373
H,GARDNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,P,P,P,P,P,0.0,7.8,2,5,0.0,0.0,97.0,97.0,374
A,CONSTANTINE,,,,,,NQ,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,0.0,7.65,1,7,0.0,0.0,97.0,97.0,375
B,BRIGGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,0.0,7.65,1,7,0.0,0.0,97.0,97.0,376
C,MICHAELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,0.0,7.65,1,7,0.0,0.0,97.0,97.0,377
J,GREENHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,0.0,7.65,1,7,0.0,0.0,97.0,97.0,378
SAAJAN,SHAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,0.0,7.65,1,7,0.0,0.0,97.0,97.0,379
W,BETTS,,NQ,,,L16,,,L16,,,NQ,NQ,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,0.0,7.65,1,7,0.0,0.0,97.0,97.0,380
A,SAPOZHENKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,0.0,7.3999999999999995,2,2,0.0,0.0,97.0,97.0,381
G,BATTERSBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,0.0,7.3999999999999995,2,2,0.0,0.0,97.0,97.0,382
L,HURSTHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,0.0,7.3999999999999995,2,2,0.0,0.0,97.0,97.0,383
M,DRAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,0.0,7.3999999999999995,2,2,0.0,0.0,97.0,97.0,384
F,LEBON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,0.0,6.949999999999999,1,6,0.0,0.0,97.0,97.0,385
I,HUTCHINSON,,,,,,,,,,,SF,,,QF,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,0.0,6.949999999999999,1,6,0.0,0.0,97.0,97.0,386
V,BALLINGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,0.0,6.949999999999999,1,6,0.0,0.0,97.0,97.0,387
H,ETHERINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,P,0.0,6.7,3,1,0.0,0.0,97.0,97.0,388
L,DRUMMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,0.0,6.55,2,1,0.0,0.0,97.0,97.0,389
A,AKANDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,0.0,6.4,1,5,0.0,0.0,97.0,97.0,390
D,MCLOUGHLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,0.0,6.4,1,5,0.0,0.0,97.0,97.0,391
G,HOLLIDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,0.0,6.4,1,5,0.0,0.0,97.0,97.0,392
O,PARTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,0.0,6.4,1,5,0.0,0.0,97.0,97.0,393
D,FRANCIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,0.0,5.55,1,4,0.0,0.0,97.0,97.0,394
F,MANDERSON-HARKIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,0.0,5.55,1,4,0.0,0.0,97.0,97.0,395
H,BARMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,0.0,5.55,1,4,0.0,0.0,97.0,97.0,396
O,MEREDITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,0.0,5.55,1,4,0.0,0.0,97.0,97.0,397
K,BHAVSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,P,0.0,5.0,2,1,0.0,0.0,97.0,97.0,398
L,WHITNALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,P,0.0,5.0,2,1,0.0,0.0,97.0,97.0,399
O,RUSHTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,P,0.0,5.0,2,1,0.0,0.0,97.0,97.0,400
A,SHETTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,401
B,ADENUGBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,402
C,DINMORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,403
F,OGILBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,404
I,SIMMONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,405
L,MALANAPHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,406
M,PUGH,,,,,,NQ,,NQ,,NQ,,,NQ,L16,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,407
M,TOMBLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,408
P,GRIFFITHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,409
C,TYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,0.0,3.0,1,1,0.0,0.0,97.0,97.0,410
J,LEVINSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,0.0,3.0,1,1,0.0,0.0,97.0,97.0,411
J,POULARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,0.0,3.0,1,1,0.0,0.0,97.0,97.0,412
J,ROBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,0.0,3.0,1,1,0.0,0.0,97.0,97.0,413
J,TYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,0.0,3.0,1,1,0.0,0.0,97.0,97.0,414
JACK,HOPKINS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,0.0,3.0,1,1,0.0,0.0,97.0,97.0,415
T,SEELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,0.0,3.0,1,1,0.0,0.0,97.0,97.0,416
